t;h;season
280.150000;090000;winter
281.750000;090000;winter
281.550000;090000;winter
283.050000;120000;winter
283.250000;120000;winter
283.250000;120000;winter
283.550000;120000;winter
283.850000;120000;winter
282.850000;150000;winter
283.150000;150000;winter
282.750000;150000;winter
283.450000;150000;winter
284.250000;150000;winter
281.650000;180000;winter
280.850000;180000;winter
280.750000;180000;winter
280.750000;180000;winter
281.050000;180000;winter
280.950000;210000;winter
278.750000;210000;winter
281.150000;210000;winter
281.150000;210000;winter
279.450000;210000;winter
278.550000;000000;winter
278.350000;000000;winter
280.550000;000000;winter
279.650000;000000;winter
278.950000;000000;winter
278.550000;030000;winter
277.850000;030000;winter
279.850000;030000;winter
278.450000;030000;winter
277.950000;030000;winter
278.350000;060000;winter
278.850000;060000;winter
279.050000;060000;winter
278.450000;060000;winter
277.650000;060000;winter
280.150000;090000;winter
279.450000;090000;winter
278.450000;090000;winter
278.150000;090000;winter
278.350000;090000;winter
281.950000;120000;winter
280.350000;120000;winter
279.450000;120000;winter
278.050000;120000;winter
279.950000;120000;winter
280.950000;150000;winter
279.450000;150000;winter
279.950000;150000;winter
278.350000;150000;winter
281.050000;150000;winter
279.350000;180000;winter
279.150000;180000;winter
280.750000;180000;winter
279.050000;180000;winter
278.950000;180000;winter
280.250000;210000;winter
279.550000;210000;winter
279.950000;210000;winter
278.850000;210000;winter
278.750000;210000;winter
280.750000;000000;winter
279.950000;000000;winter
279.350000;000000;winter
279.150000;000000;winter
280.150000;000000;winter
281.350000;030000;winter
280.550000;030000;winter
281.450000;030000;winter
279.950000;030000;winter
280.750000;030000;winter
280.250000;060000;winter
279.850000;060000;winter
279.950000;060000;winter
281.150000;060000;winter
281.350000;060000;winter
279.850000;090000;winter
279.250000;090000;winter
279.250000;090000;winter
281.550000;090000;winter
280.350000;090000;winter
281.750000;120000;winter
281.250000;120000;winter
281.950000;120000;winter
282.050000;120000;winter
281.650000;120000;winter
280.750000;150000;winter
280.650000;150000;winter
281.250000;150000;winter
282.150000;150000;winter
282.850000;150000;winter
279.850000;180000;winter
279.350000;180000;winter
279.350000;180000;winter
279.350000;180000;winter
279.950000;180000;winter
279.750000;210000;winter
278.650000;210000;winter
277.650000;210000;winter
278.050000;210000;winter
278.350000;210000;winter
279.150000;000000;winter
278.250000;000000;winter
276.350000;000000;winter
277.750000;000000;winter
276.850000;000000;winter
278.750000;030000;winter
277.650000;030000;winter
277.550000;030000;winter
276.850000;030000;winter
275.050000;030000;winter
278.950000;060000;winter
277.450000;060000;winter
277.750000;060000;winter
276.650000;060000;winter
279.350000;060000;winter
280.350000;090000;winter
279.050000;090000;winter
279.650000;090000;winter
279.250000;090000;winter
282.250000;090000;winter
282.250000;120000;winter
281.950000;120000;winter
283.450000;120000;winter
282.550000;120000;winter
283.750000;120000;winter
284.350000;150000;winter
282.750000;150000;winter
283.650000;150000;winter
284.150000;150000;winter
284.550000;150000;winter
283.850000;180000;winter
283.450000;180000;winter
283.450000;180000;winter
283.650000;180000;winter
283.150000;180000;winter
283.750000;210000;winter
283.450000;210000;winter
283.250000;210000;winter
283.050000;210000;winter
282.850000;210000;winter
282.750000;000000;winter
283.850000;000000;winter
282.450000;000000;winter
282.650000;000000;winter
282.950000;000000;winter
282.450000;030000;winter
282.850000;030000;winter
281.550000;030000;winter
283.150000;030000;winter
283.150000;030000;winter
281.950000;060000;winter
281.850000;060000;winter
282.150000;060000;winter
